"","Publication Year","Author","Title","AGRONOMY JOURNAL","DOI","Url","Abstract Note","Date","Journal Abbreviation","location_LA_CA","field_study","primary_data","study_type","focus_agriculture","target_crop_livestock","tested_practices","Status","is_LAC_CAC","Status_AI"
"81",2019,"Kumar, Vivak; Gathala, Mahesh Kumar; Saharawat, Yashpal S.; Parihar, Chiter M.; Kumar, Rajeev; Kumar, Robin; Jat, Mangi Lal; Jat, Arjun S.; Mahala, Deep M.; Kumar, Lalit; Nayak, Hari S.; Parihar, Muli D.; Rai, Vikas; Jewlia, Hemraj; Kuri, Bhola R.","Impact of tillage and crop establishment methods on crop yields, profitability and soil physical properties in rice-wheat system of Indo-Gangetic Plains of India","COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS","10.1111/sum.12473",NA,"Conservation agriculture (CA) based on best-bet crop management practices may increase crop and water productivity, as well as conserve and sustain soil health and natural resources. In a 2-year study, we assessed the effects of tillage and crop establishment (TCE) methods on productivity, profitability and soil physical properties in a rice-wheat (RW) system. The six TCE treatments were used to study the impact, which are puddled transplanted rice followed by conventionally tilled wheat (CTPR-CTW), direct-seeded rice on the flat followed by zero-till wheat (CTDSR-ZTW), zero-till direct-seeded rice with residue followed by zero-till wheat with residue (ZTDSR+R-ZTW+R), transplanted rice after rotavator puddling followed by zero-till wheat (RTTPR-ZTW), transplanted rice after rotavator puddling followed by rotary till wheat (RTTPR-RTW) and farmer practice rice-wheat (FP-RW). Result of the study revealed that mean rice yield was not significantly affected by different TCE methods. Wheat planted with ZTDSR+R-ZTW+R gave 30% larger grain yield than FP-RW. Overall, among all the TCE treatments, the RW system yields and net returns were maximum under ZTDSR+R-ZTW+R. The fastest mean infiltration rate (0.10 cm hr(-1)) was registered in ZTDSR+R-ZTW+R plots, whereas the slowest was in FP-RW plots (0.05 cm hr(-1)). Bulk density at 15-20 cm soil depth was least in ZTDSR+R-ZTW+R (1.70 Mg m(-3)) and greatest in FP-RW (1.73 Mg m(-3)). Results from this study revealed that conventionally tilled (CT) and transplanting of rice could be successfully replaced by adoption of the profitable double ZT-RW system.","2019","SOIL USE AND MANAGEMENT","China","Yes","Yes","Yes","Yes","No","zero tillage, direct-seeded rice, residue management","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC, target_crop_livestock"
"82",2009,"Gomes, Juliana; Bayer, Cimelio; Costa, Falberni de Souza; Piccolo, Marisa de Cassia; Zanatta, Josileia Acordi; Beber Vieira, Frederico Costa; Six, Johan","Soil nitrous oxide emissions in long-term cover crops-based rotations under subtropical climate","SOIL & TILLAGE RESEARCH","10.1016/j.still.2009.10.001",NA,"It has been shown that cover crops can enhance soil nitrous oxide (N2O) emissions, but the magnitude of increase depends on the quantity and quality of the crop residues. Therefore, this study aimed to evaluate the effect of long-term (19 and 21 years) no-till maize crop rotations including grass [black oat (Avena strigosa Schreb)] and legume cover crops [vetch (Vigna sativa L), cowpea (Vigna unguiculata L. Walp), pigeon pea (Cajanus cajan L. Millsp.) and lablab (Dolichos lablab)] on annual soil N2O emissions in a subtropical Acrisol in Southern Brazil. Greater soil N2O emissions were observed in the first 45 days after the cover crop residue management in all crop rotations, varying from -20.2 +/- 1.9 to 163.9 +/- 24.3 mu g N m(-2) h(-1). Legume-based crop rotations had the largest cumulative emissions in this period, which were directly related to the quantity of N (r(2) = 0.60, p = 0.13)and inversely related to the lignin:N ratio(r(2) = 0.89,p = 0.01) of the cover crop residues. After this period, the mean fluxes were smaller and were closely related to the total soil N stocks (r(2) = 0.96, p = 0.002). The annual soil N2O emission represented 0.39-0.75% of the total N added by the legume cover crops. Management-control led soil variables such as mineral N (NO3- and NH4+) and dissolved organic C influenced more the N2O fluxes than environmental-related variables as water-filled pore space and air and soil temperature. Consequently, the synchronization between N mineralization and N uptake by plants seems to be the main challenge to reduce N2O emissions while maintaining the environmental and agronomic services provided by legume cover crops in agricultural systems. (C) 2009 Elsevier B.V. All rights reserved.","2009","SOIL & TILLAGE RESEARCH","Brazil","Yes","Yes","Yes","Yes","Yes","rotation, crop residue management","Rejected-Full Text Screening","Yes","Included"
"83",2021,"Mingotte, Fabio Luiz Checchio; Jardim, Celso Antonio; do Amaral, Camila Baptista; Coelho, Anderson Prates; Morello, Orlando Ferreira; Leal, Fabio Tiraboschi; Lemos, Leandro Borges; Fornasieri Filho, Domingos","Maize yield under Urochloa ruziziensis intercropping and previous crop nitrogen fertilization","AGRONOMY JOURNAL","10.1002/agj2.20567",NA,"Maize intercropping with forage crops and N under no-tillage management have led to discrepant results regarding the impact on crop yield. Therefore, understanding various production systems is necessary to assist producers in decision making. The aim of this experiment was to evaluate whether maize (Zea mays L.) intercropping with Urochloa ruziziensis (R. Germ. and C.M. Evrard) Crins promotes differences in the agronomic performance of maize and if split top-dressing N fertilization in the previous crop (common bean [Phaseolus vulgaris L.]) promotes increase in maize agronomic performance. The experiment was conducted during two agricultural years in southeastern Brazil, with treatments arranged as a split-plot fitted in a randomized block design, with four replications. Main plot was cropping systems (two systems - maize sole and maize intercropped with U. ruziziensis) while subplots comprised 10 combinations of split top-dressed N applications, totaling 90 kg ha(-1), applied to the previously cultivated common bean crop. Regardless of the agricultural year, intercropping with U. ruziziensis sown simultaneously with maize reduced maize yield by 12% on average. Intercropping maize and U. ruziziensis increased soil coverage from an average of 64-100% over maize as an only crop. The agronomic performance of maize grown in sole crop or intercropped with U. ruziziensis was not influenced by the effect of top-dressing N fertilization applied in common bean under no-tillage as previous crop. Intercropping maize with U. ruziziensis is a viable option for producers seeking improved soil coverage or grazing opportunities, however, caution is needed since maize yields may be reduced.","2021","AGRONOMY JOURNAL","Brazil","Yes","Yes","Yes","Yes","Yes","intercropping, organic fertilizer","Extracted","Yes","Included"
"84",2022,"Salama, Heba S. A.; Nawar, Ali I.; Khalil, Hassan E.","Intercropping Pattern and N Fertilizer Schedule Affect the Performance of Additively Intercropped Maize and Forage Cowpea in the Mediterranean Region","AGRONOMY-BASEL","10.3390/agronomy12010107",NA,"Intercropping maize and forage cowpea is a widely proposed strategy to improve land use efficiency, and maximize the economic value of the farming system, especially in developing countries with restricted resources. The current study was carried out during the successive summers of 2020 and 2021 in Northern Egypt. The main objective was to evaluate the effect of three N schedules (NS1, NS2, NS3), when three different maize-cowpea intercropping patterns (IP1, IP2, IP3) were applied, on the grain yield of maize, forage yield and quality of forage cowpea. In addition, yield gain and land use efficiency were evaluated using the land equivalent ratio (LER) and dry matter equivalent ratio (DMER) indices. Results revealed that the intercropping patterns that provided wider spacings for the component crops and reduced the competition between them, mainly IP3, resulted in the best performances for the two crops. This was clear for maize ear and grain yields, 100-grain weight and harvest index, in addition to cowpea fresh and dry forage yields, crude protein and non-fiber carbohydrates of the three cuts. Regarding the applied N schedules, NS1 which included the application of a N starter dose with sowing proved to be the most efficient schedule that led to the best performance for both crops. Maize produced 9.07 t ha(-1) grain yield under IP3 and NS1. In addition, the application of IP3 resulted in the highest significant cowpea dry forage yield (DFY), with the highest crude protein (CP) content. The DFY of cuts 1, 2, and 3 amounted to 1.27, 0.45, and 0.24 t ha(-1), while the CP content for the three respective cuts reached 159.49, 157.96, and 148.91 g kg(-1). Nonetheless, NS1 produced a reasonable amount of DFY with high CP content. It is recommended to follow the third proposed intercropping pattern (IP3) and to include a nitrogen starter dose (NS1) in the fertilization scheme to ensure highest productivity from the intercropped maize and forage cowpea.","2022","AGRONOMY-BASEL","Egypt","Yes","Yes","Yes","Yes","Yes","intercropping, N schedules, dose management","Rejected-after extracted","No","Excluded - Issues: is_LAC_CAC"
"85",2015,"Odhiambo, Judith A.; Norton, Urszula; Ashilenje, Dennis; Omondi, Emmanuel C.; Norton, Jay B.","Weed Dynamics during Transition to Conservation Agriculture in Western Kenya Maize Production","PLOS ONE","10.1371/journal.pone.0133976",NA,"Weed competition is a significant problem in maize (Zea mays, L.) production in Sub-Saharan Africa. Better understanding of weed management and costs in maize inter-cropped with beans (Phaseolus vulgaris, L.) during transition to conservation agricultural systems is needed. Changes in weed population and maize growth were assessed for a period of three years at Bungoma where crops are grown twice per year and at Trans-Nzoia where crops are grown once per year. Treatments included three tillage practices: minimum (MT), no-till (NT) and conventional (CT) applied to three cropping systems: continuous maize/bean intercropping (TYPICAL), maize/bean intercropping with relayed mucuna after bean harvest (RELAY) and maize, bean and mucuna planted in a strip intercropping arrangement (STRIP). Herbicides were used in NT, shallow hand hoeing and herbicides were used in MT and deep hoeing with no herbicides were used in CT. Weed and maize performance in the maize phase of each cropping system were assessed at both locations and costs of weed control were estimated at Manor House only. Weed density of grass and forb species declined significantly under MT and NT at Manor House and of grass species only at Mabanga. The greatest declines of more than 50% were observed as early as within one year of the transition to MT and NT in STRIP and TYPICAL cropping systems at Manor House. Transitioning to conservation based systems resulted in a decline of four out of five most dominant weed species. At the same time, no negative impact of MT or NT on maize growth was observed. Corresponding costs of weed management were reduced by $148.40 ha(-1) in MT and $149.60 ha(-1) in NT compared with CT. In conclusion, farmers can benefit from effective and less expensive weed management alternatives early in the process of transitioning to reduced tillage operations.","2015","PLOS ONE","Sub-Saharan Africa","Yes","Yes","Yes","Yes","Yes","intercropping, cover crops, no-till, minimum tillage, herbicide use, weed management","Rejected-Full Text Screening","No","Excluded - Issues: is_LAC_CAC"
"86",2011,"Cannavo, P.; Sansoulet, J.; Harmand, J. -M.; Siles, P.; Dreyer, E.; Vaast, P.","Agroforestry associating coffee and Inga densiflora results in complementarity for water uptake and decreases deep drainage in Costa Rica","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","10.1016/j.agee.2010.11.005",NA,"The shade impact by Ingo densiflora on water use and drainage in a coffee agroforestry system (AFS) was compared to coffee monoculture (MC) in Costa Rica. Rainfall interception, transpiration, runoff and soil water content were monitored during 3 years. Runoff was lower in AFS than MC (5.4 and 8.4% of total rainfall, respectively) and a higher water infiltration was observed under AFS. Still, the higher combined rainfall interception + transpiration of coffee and shade trees in AFS resulted in a lower drainage than in MC. No coffee water stress was recorded either in AFS or MC as relative extractable soil water remained above 20% during the dry seasons. Time course of soil water content showed enhanced access to soil water between 100 and 200 cm depth in AFS. This suggests complementarity for soil water between coffee and shade trees. The model HYDRUS 1D predicted that drainage at 200 cm depth accounted for a large fraction of annual rainfall (68% for MC and 62% for AFS). Climatic scenario simulations showed (1) a potential competition for water between coffee and shade trees when the dry season was extended by 4-6 weeks compared to actual, and (2) a severe reduction in annual drainage, but without competition for water when rainfall was reduced down to 40% of the actual. (C) 2010 Elsevier B.V. All rights reserved.","2011","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","Costa Rica","Yes","Yes","Yes","Yes","No","agroforestry","Rejected-Full Text Screening","Yes","Excluded - Issues: target_crop_livestock"
"87",2011,"Balde, Alpha Bocar; Scopel, Eric; Affholder, Francois; Corbeels, Marc; Macena da Silva, Fernando Antonio; Valadares Xavier, Jose Humberto; Wery, Jacques","Agronomic performance of no-tillage relay intercropping with maize under smallholder conditions in Central Brazil","FIELD CROPS RESEARCH","10.1016/j.fcr.2011.06.017",NA,"In the context of conservation agriculture on small scale farms of the Brazilian Cerrado, we hypothesized that planting a cover crop in relay with a commercial crop improves the efficiency of use of available natural resources, increasing biomass for use as fodder without reducing the grain yield of the main crop. The objective of this study was to measure the performance of two intercropped systems in terms of total above-ground biomass production and maize (Zea mays) grain yield: pigeon pea (Cajanus cajan) and Brachiaria (Brachiaria ruziziensis) sown as cover crops in established maize under a no-tillage management. The cover crops were sown at two different dates and a comparison was made with the three crops sown as a sole crop at the early sowing date. The experiment was conducted during the 2007-2008 and 2008-2009 growing seasons. Maize grain yield was not reduced by the presence of the relay cover crops in comparison with maize as the sole crop, even when the cover crop was sown soon after maize emergence. In contrast, the production of above-ground biomass by the cover crop was significantly lower when grown with maize than it was when grown as a sole crop. In the intercropped systems, when sown early, the cover crop produced higher total biomass than when sown late. Total above-ground biomass production of maize intercropped with a cover crop was much higher than that of any of the crops sown alone: the total biomass (average of the two growing seasons) produced by maize and pigeon pea was more than double that of maize grown alone. The land equivalent ratio (LER) of maize grain yield and biomass production was higher than one whatever the intercropped system used. It was particularly high when maize was intercropped with early sown pigeon pea; grain yield LER and biomass LER reaching, respectively, 1.72 and 1.73 in 2007-2008 and 2.02 and 2.03 in 2008-2009. These high LER values provide evidence for the complementary and the high efficiency of use of available resources by the intercropped plants and thus the advantage of such systems to produce both maize grain and cover crop forage under the conditions of our study. (C) 2011 Elsevier B.V. All rights reserved.","2011","FIELD CROPS RESEARCH","Brazil","Yes","Yes","Yes","Yes","No","intercropping, no-tillage, cover crops","Extracted","Yes","Excluded - Issues: target_crop_livestock"
"88",2020,"Sun, Mingxia; Liu, Quanru; Li, Quanqi","Summer maize grain yield and water use efficiency response to straw mulching and plant density",NA,NA,NA,"The demand for food security and fresh water due to global warming causes an elevated requirement for food production and water efficiency in the North China Plain (NCP). To establish the optimal summer maize (Zea mays L.) planting schedule, a study was conducted to understand the effects of different straw mulching conditions and plant density on grain yield (GY) and water use efficiency (WUE). During 2012 and 2013 summer maize growing seasons, experiments were conducted with two different mulching treatments, i.e., 0.6 kg m(-2) straw mulching (M) and non-mulching (N), and three plant density conditions, i.e., 10.0 plants m(-2) (1, high plant density), 7.5 plants m(-2) (2, medium plant density), and 5.5 plants m(-2) (3, low plant density). The six treatment combinations were: 10.0 plants m(-2) density without straw mulching (N1), 10.0 plants m-2 density with 0.6 kg m(-2) straw mulching (M1), 7.5 plants m(-2) density without straw mulching (N2), 7.5 plants m(-2) density with 0.6 kg m(-2) straw mulching (M2), 5.5 plants m(-2) density without straw mulching (N3), and 5.5 plants m(-2) density with 0.6 kg m(-2) straw mulching (M3). The results showed medium and high plant density treatments had a significant increase in spike number compared to the low plant density treatment. Straw mulching significantly improved both the GY and WUE of summer maize under low and medium plant density treatments in both dry and normal rainfall years. M2 treatment achieved the highest GY and showed the greatest improvement in WUE of 35.4% over the non-mulching treatment across the three plant densities, and so it will be promoted as an agricultural practice in the NCP","2020","MAYDICA","China","Yes","Yes","Yes","Yes","Yes","straw mulching","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC"
"89",2022,"Zhang, Daijing; Hao, Xinru; Fan, Zhiyao; Hu, Xiao; Ma, Jianhui; Guo, Yuxin; Wu, Lin","Optimizing Tillage and Fertilization Patterns to Improve Soil Physical Properties, NUE and Economic Benefits of Wheat-Maize Crop Rotation Systems","AGRICULTURAL AND FOREST METEOROLOGY","10.3390/agriculture12081264",NA,"Winter wheat and summer maize rotation is the main cropping pattern in the North China Plain (NCP). There are still problems with farmers' production modes, including shallow tillage layers, single application of chemical fertilizer causing plow bottom layer thickening and soil pH decrease. A two-factor location experiment was conducted to investigate the effects of different tillage and fertilization patterns on the soil physical properties, soil organic carbon (SOC), nitrogen-use efficiency, and crop yield of wheat-maize rotation systems during the years 2018-2020. The different treatments were deep tillage + organic fertilizer (DTF), shallow tillage + organic fertilizer (STF), no tillage + organic fertilizer (NTF), deep tillage + nitrogen fertilizer (DT), shallow tillage + nitrogen fertilizer (ST), and no tillage + nitrogen fertilizer (NT). The results showed that STF treatment could effectively improve the physical properties of soil and, SOC content, and increase both the crop yield and revenue of farmers. In the STF treatment, soil water content was highest in the 0-20 cm layer (2018), which was 4.89-11.31% higher than that of the other treatments; additional organic fertilizer application reduced soil bulk and increased the proportion of <0.25 mm aggregates; SOC and soil total nitrogen (TN) content were highest in the 20-40 cm layer, (15.82-32.63% and 28.57-42.86%, respectively). The total yield of wheat-maize rotation for both years was the highest under STF treatment. The annual economic benefits under this treatment were 42,182.26 and 42,254.54 CNY ha(-1), which were 1.02-12.94% and 2.29-9.87% higher than those of the other treatments. Therefore, the suggested planting method in the NCP is tillage of over 20 cm and additional organic fertilizer.","2022","AGRICULTURE-BASEL","China","Yes","Yes","No","Yes","Yes","deep tillage, shallow tillage, no tillage, organic fertilizer, nitrogen fertilizer","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC, study_type"
"90",2023,"Erraji, Hassan; Asehraou, Abdeslam; Tallou, Anas; Rokni, Yahya","Assessment of biogas production and fertilizer properties of digestate from cow dung using household biogas digester","BIOMASS CONVERSION AND BIOREFINERY","10.1007/s13399-023-03818-5",NA,"Morocco is located in the northwestern part of Africa and is one of the Mediterranean countries threatened by the increasing generation of organic waste. Without any treatment or management strategy, these wastes are dumped illegally in large quantities and can affect natural resources. Recently, the anaerobic digestion method seems to be one of the best processes available to treat organic wastes. In the present study, the 15-m(3) Puxin digester was used to produce biogas and digestate from cow dung. A total amount of 3500 kg of cattle dung was treated, generating a specific biogas production of 0.163 m(3) kg(-1) volatile solid. Furthermore, the application of the digestate diluted to 50% as biofertilizer for maize crop showed higher yield (P < 0.05) compared to the NPK fertilizer (45 quintals per ha and 33 quintals per ha respectively, i.e., + 36%) and the control (+ 80%). These valuable results can promote the development of biogas technology in Morocco as well as in similar countries.","2023","BIOMASS CONVERSION AND BIOREFINERY","Morocco","Yes","Yes","Yes","Yes","Yes","diluted digestate application, biogas production","Rejected-Full Text Screening","No","Excluded - Issues: is_LAC_CAC"
"91",2006,"Kipkoech, Anderson K.; Schulthess, Fritz; Yabann, Wilson K.; Maritim, Henry K.; Mithofer, Dagmar","Biological control of cereal stem borers in Kenya: A cost benefit approach","ANNALES DE LA SOCIETE ENTOMOLOGIQUE DE FRANCE","10.1080/00379271.2006.10697487",NA,"Lepidopteran stem borers are the key pests of maize in Sub-Saharan Africa. In the lowland tropics, dry mid-altitude, dry transitional and the moist mid-altitude zones of Kenya, the invasive crambid Chilo partellus (Swinhoe) (Lepidoptera: Crambidae) causes up to 73% yield loss. The International Centre of Insect Physiology and Ecology (ICIPE) started a biological control (BC) program in 1991 to control stem borers in subsistence agriculture in Africa with emphasis on classical BC of C. partellus. The project released the braconid larval parasitoid Cotesia flavipes Cameron (Hymenoptera: Braconidae) in 1993 in coastal Kenya, where it got established and spread to other regions. This study assesses the economic impact of the introduced parasitoid. Temporal data on percentage parasitism by the introduced parasitoid and on stem borer density were collected between 1995 and 2004. Socio-economic data was collected through administration of questionnaires to 300 farmers. Economic impact of the project was calculated as the value of the yield loss abated by the parasitoid based on a model of expected stem borer density and parasitism level. Average annual parasitism increased linearly from the time of introduction to reach 20% parasitism by 2004. The net reduction in total stem borer density over the last 10 years was 33.7%, thus abating 47.3% of yield loss. The region will accumulate a net present value of US $ 183 million in economic benefits in 20 years since release of the parasitoid. Introduction of other parasitoid species targeting the egg and pupal stages of the stem borer life cycle stages would be required for biological control to push yield loss by stem borers to an insignificant level.","2006","ANNALES DE LA SOCIETE ENTOMOLOGIQUE DE FRANCE","Kenya","Yes","Yes","Yes","Yes","Yes","biological pest control","Rejected-Full Text Screening","No","Excluded - Issues: is_LAC_CAC"
"92",2017,"Wei, Kai; Bao, Hongxu; Huang, Shaomin; Chen, Lijun","Effects of long-term fertilization on available P, P composition and phosphatase activities in soil from the Huang-Huai-Hai Plain of China",NA,"10.1016/j.agee.2016.12.030",NA,"Combining organic materials with chemical fertilizers is gradually becoming the primary fertilization strategy in China for increasing soil phosphorus (P) concentration; however, the relationships between soil available P, P composition and phosphatase activities in treatments with long-term crop straw or animal manure combined with chemical NPK fertilizers are not fully understood. In this study, a field fertilization experiment was conducted in a light sandy loam soil from the Huang-Huai-Hai Plain of China to determine the variation in soil available P, P composition and phosphatase activities with 23 years of continuous application of maize straw or cattle manure in combination with chemical fertilizers at the depth of 0-20 cm, with special attention paid to their relationships. The experiment was arranged in a randomized block design with three replications for each treatment, including the unfertilized control (CK), chemical nitrogen (N) with phosphorus (P) and potassium (K) (NPK), NPK plus maize straw (NPKS), and NPK plus cattle manure (NPKM). Results indicated that all fertilization treatments significantly increased soil P concentration and crop yields. Among the fertilization treatments, NPKM treatment showed the significantly highest total P and available P concentrations, while no significant difference in either wheat or maize yield between NPK, NPKS and NPKM treatments was found. Compared to the application of chemical NPK fertilizers alone, the NPKS treatment significantly increased soil organic P, pyrophosphate and orthophosphate concentrations, as well as soil phosphatase activities. The increase in orthophosphate concentration under the NPKS treatment may be associated with the hydrolysis of organic P and pyrophosphate catalyzed by acid phosphomonoesterase (AcP), phosphodiesterase (PD) and inorganic pyrophosphatase (IPP), which was conducive to keeping soil available P concentration under NPKS treatment at an appropriate level that could not only satisfy crop P demand but also have no negative impacts on the environment. However, the increase of orthophosphate and available P concentrations under NPKM treatment may be primarily related to the manure P inputs, and although NPKM treatment significantly increased soil inorganic P concentration in comparison to other fertilization treatments, it also increased the risk of P leaching. Overall, from the perspective of P nutrient management, our results suggest that NPKS treatment might be an effective long-term fertilization practice in the light sandy loam soil of Huang-Huai-Hai Plain of China. (C) 2016 Elsevier B.V. All rights reserved.","2017","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","China","Yes","Yes","Yes","Yes","Yes","crop residue management, organic fertilizer, inorganic fertilizer optimization","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC"
"93",2006,"Astier, M.; Maass, J. M.; Etchevers-Barra, J. D.; Pena, J. J.; de Leon Gonzalez, F.","Short-term green manure and tillage management effects on maize yield and soil quality in an Andisol","SOIL & TILLAGE RESEARCH","10.1016/j.still.2005.05.003",NA,"Andisols are very important land resources supporting high human population density. Maize (Zea tnays L.) production on Andisols located in the Purhepecha Region of central Mexico is representative of the highlands conditions of Mexico and Latin America. Farmers struggle with low crop yield and low soil nutrient availability. A 2-year field study was conducted to evaluate the effects of green manures either tilled into the soil (CT) or cut and left on the surface as a mulch (ZT), on maize yield and soil quality. Green manure treatments were: vetch (Vicia sativa L.), oat (Avena sativa L.) and none. No extra N was added to maize. Green manure and tillage had a significant effect on maize grain yield, N uptake and P uptake with CT vetch performing better than ZT oat. Soil organic C and total N were significantly higher under ZT than under CT management. Soils with vetch had higher P concentration. Soil under ZT oat had the highest infiltration rate and penetration resistance compared with other treatments. There appears to be a trade off between soil productivity and intrinsic soil physical properties among soil treatments. (c) 2005 Elsevier B.V. All rights reserved.","2006","SOIL & TILLAGE RESEARCH","Mexico","Yes","Yes","Yes","Yes","Yes","mulch, green manure","Extracted","Yes","Included"
"94",2021,"Qiao, Lei; Silva, Joao Vasco; Fan, Mingsheng; Mehmood, Imran; Fan, Jinglong; Li, Rong; van Ittersum, Martin K.","Assessing the contribution of nitrogen fertilizer and soil quality to yield gaps: A study for irrigated and rainfed maize in China","CROP JOURNAL","10.1016/j.fcr.2021.108304",NA,"Yield gap (Yg) analysis is useful to map the scope for sustainable intensification of agriculture, but explaining and quantifying the underlying causes of yield gaps remains a considerable challenge. The objective of this study was to decompose maize yield gaps under different nitrogen (N) application rates and soil quality conditions across irrigated and rainfed cropping systems in China. A comprehensive database consisting of 5228 on-farm trials located in three major maize production regions of China was used for this purpose. The on-farm trials contained detailed information for four different treatments: fertilizer omission (control), optimal N rate (optimal N), 50% of optimal N rate (low N) and 150% of optimal N rate (high N). These were combined with biophysical and yield potential data from the Global Yield Gap Atlas (http://yieldgap.org). An analytical framework integrating sto-chastic frontier analysis and principles of production ecology was applied to decompose the overall maize yield gap into components of efficiency (and respective management and soil quality effects, Yg-M and Yg-S), resource (Yg-R), and technology Yg (Yg-T). The potential yield (Yp) of irrigated maize averaged 14.5 Mg/ha in Northeast China (NE) and 11.9 Mg/ha for North China Plain (NCP), and the water-limited potential yield (Yw) of rainfed maize averaged 12.0 Mg/ha in NE and 10.5 Mg/ha in Southwest China (SW), respectively. Maize yield gaps were highly variable across N treatments and cropping systems and ranged between 27-56% of Yp or Yw. Larger absolute yield gaps were observed in irrigated cropping systems in NE (4.8-8.1 Mg/ha) than in NCP (3.8-6.1 Mg/ ha) and in rainfed cropping systems in NE (3.6-6.7 Mg/ha) and SW (2.8-5.9 Mg/ha). The components of the yield gap differed in size across cropping systems and N treatments. Yg-T was fairly small and consistent across N treatments ranging between 7.0% and 12.0% of Yp for irrigated maize and only ca. 2.0% of Yw for rainfed maize in NE. Yg-R was strongly associated with the N treatment explaining between 16.0-26.0% of Yp (or Yw) for control and low N treatments and being close to negligible for the optimal and high N treatments. Yg-M due to inefficient crop management accounted for 6.0-14.0% of Yp (or Yw) across cropping systems and N treatments, which is equivalent to 0.7-1.8 Mg/ha. The Yg-S explained the largest proportion of the total yield gap, especially in trials with low and medium soil quality levels, accounting for 11.0-24.0% of Yp or Yw (1.3-3.1 Mg/ha). The Yg-S was linked to partly manageable soil properties, such as low soil organic matter contents and low available P and/or K. This study is one of the first to incorporate the effects of soil quality in yield gap analysis and provides a basis to target management practices that can improve soil quality and N use efficiency while nar-rowing maize yield gaps in China.","2021","FIELD CROPS RESEARCH","China","Yes","Yes","Yes","Yes","Yes","optimal N rate application, low N rate application, high N rate application","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC"
"95",2006,"Harawa, Rebbie; Lehmann, Johannes; Akinnifesi, Festus; Fernandes, Erick; Kanyama-Phiri, George","Nitrogen dynamics in maize-based agroforestry systems as affected by landscape position in southern Malawi","NUTRIENT CYCLING IN AGROECOSYSTEMS","10.1007/s10705-006-9033-y",NA,"In Malawi, agroforestry is very promising for N replenishment; however, there are still large variations in the performance of these agroforestry technologies on farmers' fields. A study was conducted on-farm to determine the influence of three landscape positions on N dynamics in maize (Zea mays L.)-based agroforestry systems. The agroforestry systems were relay fallow using Sesbania sesban (L.) Merr or Tephrosia vogelii (Hook F.), simultaneous fallow using Gliricidia sepium(Jacq.) Walp., and maize without trees as a control. Sesbania was superior to other systems in the bottom slope, producing the highest tree biomass (1,861 kg ha(-1)), whereas, gliricidia gave the highest tree biomass production in the mid-slope (2,147 kg ha(-1)) and upper slope (1,690 kg ha-1). Preseason inorganic N, maize flag leaf N concentration, maize total N uptake and maize yields followed a similar trend to tree biomass production with tree-based cropping systems exhibiting higher productivity (P < 0.05) than the cropping systems without trees. Nitrogen leaching from gliricidia agroforestry systems was lower than in the other agroforestry systems across all landscape positions as evidenced by 17% lower amounts (P < 0.05) of inorganic N adsorbed to ionic exchange resin membranes at 60 cm soil depth most likely due to the permanent root system of gliricidia. The difference between delta N-15 values of the trees and the soil did not change between landscape positions suggesting that if the leguminous trees fixed atmospheric N-2, the proportion of total N uptake was identical at all locations. We concluded that landscape positions have a significant effect on tree performance with sesbania remarkably adapted to the bottom slope, gliricidia to the mid-slopes and tephrosia fairing similar in both the bottom slope and mid-slopes.","2006","NUTRIENT CYCLING IN AGROECOSYSTEMS","Malawi","Yes","Yes","Yes","Yes","No","agroforestry","Extracted","No","Excluded - Issues: is_LAC_CAC, target_crop_livestock"
